,Dato,Kvitteringer,eResept,NAV,Basismeldinger,Folkehelseinstituttet,Dialogmeldinger,Systemmeldinger,Pleie- og omsorgsmeldinger,Partnermeldinger,Skatteetaten,Helsedirektoratet,Kreftmeldinger,Neonatal,Ikke spesifisert,Ikke Kategoriserte,Totalt antall meldinger,Antall ebxml meldinger,Antall medisinske meldinger,Ikke kategorisert,Antall ikke ebxml meldinger,eResept-meldinger,NAV- og HELFO-meldinger,FHI-meldinger,eResept-meldinger 
296,2017-10-24,1164303,423627.0,140104.0,143686,45180.0,12553,4260,5577,349.0,159,250,0,0.0,6.0,4960,1977637,1945014,771142,,,,,,
297,2017-10-25,1101255,401545.0,129755.0,142417,46242.0,12538,4377,5690,356.0,143,192,0,0.0,10.0,1506,1872849,1846026,738532,,,,,,
298,2017-10-26,1144158,439208.0,134213.0,139831,52723.0,12222,4176,5545,245.0,144,303,0,0.0,1.0,1299,1961402,1934068,784190,,,,,,
299,2017-10-27,1117392,453191.0,129544.0,128962,44092.0,11978,4030,5622,332.0,169,254,0,0.0,33.0,1344,1927308,1896943,773845,,,,,,
300,2017-10-28,305031,199229.0,21091.0,17706,2426.0,1501,2882,1750,34.0,130,167,0,0.0,0.0,394,558930,552341,244000,,,,,,
301,2017-10-29,97478,15534.0,18087.0,13415,1350.0,1771,2837,1680,73.0,130,85,0,0.0,0.0,414,156243,152854,52052,,,,,,
302,2017-10-30,1217172,436787.0,185149.0,138055,56699.0,12624,4306,6084,387.0,153,224,38,0.0,11.0,1416,2087375,2059105,835824,,,,,,
303,2017-10-31,1245277,502121.0,158301.0,140901,53862.0,12548,4662,5688,347.0,140,209,0,0.0,0.0,1454,2152462,2125510,873770,,,,,,
304,2017-11-01,1156291,415034.0,151819.0,140788,49518.0,12774,4893,5678,275.0,161,346,0,242.0,33.0,1415,1967023,1939267,776393,,,,,,
305,2017-11-02,1188119,413837.0,198903.0,143827,43430.0,12547,6199,5552,257.0,164,410,0,14.0,0.0,1308,2040804,2014567,818684,,,,,,
306,2017-11-03,1140887,442910.0,167149.0,131655,36508.0,11667,3975,5856,269.0,163,217,0,169.0,29.0,1350,1971554,1942804,796323,,,,,,
307,2017-11-04,314597,207679.0,20396.0,17139,2091.0,1530,2863,1535,43.0,138,124,0,0.0,0.0,377,574256,568512,250632,,,,,,
308,2017-11-05,89036,13889.0,19210.0,12556,1808.0,1775,2818,1615,38.0,117,26,0,5.0,0.0,458,147500,143351,51001,,,,,,
